AccountID   CustomerID  Balance                                 OpenDate
----------- ----------- --------------------------------------- ----------
1           1           1900.00                                 2024-01-01
2           2           2000.00                                 2024-01-02
3           3           1500.00                                 2024-01-03
4           4           3000.00                                 2024-01-04
5           5           2500.00                                 2024-01-05
6           6           1800.00                                 2024-01-06
7           7           2200.00                                 2024-01-07
8           8           2700.00                                 2024-01-08
9           9           3200.00                                 2024-01-09
10          10          3500.00                                 2024-01-10
11          11          4000.00                                 2024-01-11
12          12          1200.00                                 2024-01-12
13          13          2600.00                                 2024-01-13
14          14          2800.00                                 2024-01-14
15          15          3100.00                                 2024-01-15
16          16          3300.00                                 2024-01-16
17          17          3600.00                                 2024-01-17
18          18          3900.00                                 2024-01-18
19          19          4100.00                                 2024-01-19
20          20          4500.00                                 2024-01-20
21          21          3200.00                                 2023-05-12
22          22          5100.00                                 2023-11-04
23          23          2800.00                                 2024-02-15
24          24          4200.00                                 2023-08-22
25          25          3900.00                                 2023-12-30
26          26          4700.00                                 2024-03-10
27          27          3100.00                                 2023-04-18
28          28          5500.00                                 2023-09-05
29          29          2600.00                                 2024-01-12
30          30          4800.00                                 2023-07-27
31          31          3300.00                                 2023-10-15
32          32          4100.00                                 2024-02-28
33          33          2900.00                                 2023-06-20
34          34          5200.00                                 2023-11-11
35          35          3700.00                                 2024-03-05
36          36          4400.00                                 2023-05-25
37          37          3000.00                                 2023-12-14
38          38          4600.00                                 2024-01-08
39          39          3500.00                                 2023-08-01
40          40          5000.00                                 2023-04-30
41          41          3150.00                                 2023-09-19
42          42          4250.00                                 2024-02-14
43          43          2750.00                                 2023-07-03
44          44          5350.00                                 2023-12-21
45          45          3850.00                                 2024-03-12
46          46          4550.00                                 2023-06-15
47          47          3100.00                                 2023-11-28
48          48          4900.00                                 2024-01-25
49          49          3400.00                                 2023-05-07
50          50          5100.00                                 2023-10-09
51          51          3250.00                                 2024-02-20
52          52          4350.00                                 2023-08-14
53          53          2850.00                                 2023-12-05
54          54          5450.00                                 2024-03-15
55          55          3950.00                                 2023-07-11
56          56          4650.00                                 2023-11-30
57          57          3200.00                                 2024-01-18
58          58          5000.00                                 2023-04-22
59          59          3500.00                                 2023-09-12
60          60          5200.00                                 2024-02-05
61          61          3100.00                                 2023-06-28
62          62          4200.00                                 2023-12-19
63          63          2700.00                                 2024-03-20
64          64          5300.00                                 2023-05-15
65          65          3800.00                                 2023-10-27
66          66          4500.00                                 2024-01-31
