TransactionID AccountID   TransactionDate         Amount                                  TransactionType
------------- ----------- ----------------------- --------------------------------------- --------------------
1             1           2024-02-01 00:00:00.000 500.00                                  Deposit
2             2           2024-02-02 00:00:00.000 300.00                                  Withdrawal
3             3           2024-02-03 00:00:00.000 700.00                                  Deposit
4             4           2024-02-04 00:00:00.000 200.00                                  Withdrawal
5             5           2024-02-05 00:00:00.000 900.00                                  Deposit
6             6           2024-02-06 00:00:00.000 400.00                                  Withdrawal
7             7           2024-02-07 00:00:00.000 800.00                                  Deposit
8             8           2024-02-08 00:00:00.000 600.00                                  Withdrawal
9             9           2024-02-09 00:00:00.000 1000.00                                 Deposit
10            10          2024-02-10 00:00:00.000 500.00                                  Withdrawal
11            11          2024-02-11 00:00:00.000 750.00                                  Deposit
12            12          2024-02-12 00:00:00.000 350.00                                  Withdrawal
13            13          2024-02-13 00:00:00.000 650.00                                  Deposit
14            14          2024-02-14 00:00:00.000 450.00                                  Withdrawal
15            15          2024-02-15 00:00:00.000 850.00                                  Deposit
16            16          2024-02-16 00:00:00.000 550.00                                  Withdrawal
17            17          2024-02-17 00:00:00.000 950.00                                  Deposit
18            18          2024-02-18 00:00:00.000 650.00                                  Withdrawal
19            19          2024-02-19 00:00:00.000 1050.00                                 Deposit
20            20          2024-02-20 00:00:00.000 700.00                                  Withdrawal
21            21          2023-05-12 00:00:00.000 3200.00                                 Deposit
22            22          2023-11-04 00:00:00.000 5100.00                                 Withdrawal
23            23          2024-02-15 00:00:00.000 2800.00                                 Deposit
24            24          2023-08-22 00:00:00.000 4200.00                                 Withdrawal
25            25          2023-12-30 00:00:00.000 3900.00                                 Deposit
26            26          2024-03-10 00:00:00.000 4700.00                                 Withdrawal
27            27          2023-04-18 00:00:00.000 3100.00                                 Deposit
28            28          2023-09-05 00:00:00.000 5500.00                                 Withdrawal
29            29          2024-01-12 00:00:00.000 2600.00                                 Deposit
30            30          2023-07-27 00:00:00.000 4800.00                                 Withdrawal
31            31          2023-10-15 00:00:00.000 3300.00                                 Deposit
32            32          2024-02-28 00:00:00.000 4100.00                                 Withdrawal
33            33          2023-06-20 00:00:00.000 2900.00                                 Deposit
34            34          2023-11-11 00:00:00.000 5200.00                                 Withdrawal
35            35          2024-03-05 00:00:00.000 3700.00                                 Deposit
36            36          2023-05-25 00:00:00.000 4400.00                                 Withdrawal
37            37          2023-12-14 00:00:00.000 3000.00                                 Deposit
38            38          2024-01-08 00:00:00.000 4600.00                                 Withdrawal
39            39          2023-08-01 00:00:00.000 3500.00                                 Deposit
40            40          2023-04-30 00:00:00.000 5000.00                                 Withdrawal
41            41          2023-09-19 00:00:00.000 3150.00                                 Deposit
42            42          2024-02-14 00:00:00.000 4250.00                                 Withdrawal
43            43          2023-07-03 00:00:00.000 2750.00                                 Deposit
44            44          2023-12-21 00:00:00.000 5350.00                                 Withdrawal
45            45          2024-03-12 00:00:00.000 3850.00                                 Deposit
